gid,entidad,objeto,fna,geom,gna,nam,fun,ppo,sag,fdc
"2201","0",Mina,Mina Chinchillas (Plomo - Plata),POINT(-66.256548032 -22.5046904709999),Mina,Chinchillas,6,105,IGN,Esri-World_Imagery/IGN04/SEGEMAR/500 K
"2202","0",Mina,(Piedra),POINT(-64.937849413 -24.5092937439999),"-1","-1",6,93,IGN,IGN01/IGN04/IGN 2566-II 1990
"2203","0",Mina,(Ripio),POINT(-65.352603378 -24.15979866),"-1","-1",6,93,IGN,IGN01
"2204","0",Mina,(Ripio),POINT(-65.383912702 -24.1566897179999),"-1","-1",6,93,IGN,IGN01/IGN04
"2205","0",Mina,(Ripio),POINT(-65.385050715 -24.151419602),"-1","-1",6,93,IGN,IGN01/IGN04
"2206","0",Mina,(Ripio),POINT(-65.2559695589999 -24.209525022),"-1","-1",6,93,IGN,IGN01
"2207","0",Mina,(Ripio),POINT(-65.2753420339999 -24.190338212),"-1","-1",6,93,IGN,IGN01
"2208","0",Mina,Cantera Cielito (Mármol),POINT(-66.884784269 -23.925084586),Cantera,Cielito,2,66,IGN,IGN01/IGN04
"2209","0",Mina,Mina Pan de Azúcar (Plata - Zinc - Plomo),POINT(-66.054980045 -22.6194839789999),Mina,Pan de Azúcar,2,105,IGN,Esri-World_Imagery/IGN01/IGN04/SEGEMAR/500 K
"2210","0",Mina,Mina Cóndor (Oro),POINT(-66.1427797979999 -22.410536769),Mina,Cóndor,2,284,IGN,IGN01/IGN04/SEGEMAR
"2211","0",Mina,Mina Santa Rosa (Abandonada),POINT(-65.258022867 -22.3979218229999),Mina,Santa Rosa,2,-1,IGN,IGN01
"2212","0",Mina,Cantera Pucará (Cal),POINT(-65.452480662 -23.947218983),Cantera,Pucará,6,14,IGN,IGN01/IGN04/Secretaría de Minería
"2213","0",Mina,Tres Morros (Sal),POINT(-65.836509453 -23.744685723),"-1",Tres Morros,6,95,IGN,IGN01/IGN04/Segemar
"2214","0",Mina,Tres Morros (Sal),POINT(-65.9196737349999 -23.6924695819999),"-1",Tres Morros,6,95,IGN,IGN01/IGN04/Segemar
"2215","0",Mina,(Piedra),POINT(-65.738724098 -23.77830074),"-1","-1",6,93,IGN,IGN01/IGN04
"2216","0",Mina,(Piedra),POINT(-65.430059538 -22.938143173),"-1","-1",6,93,IGN,IGN01
"2217","0",Mina,(Arena),POINT(-65.7833578899999 -22.7170822859999),"-1","-1",6,-1,IGN,IGN01
"2218","0",Mina,(Piedra),POINT(-65.8323383219999 -22.707722842),"-1","-1",6,93,IGN,IGN01
"2219","0",Mina,(Ripio),POINT(-65.711107305 -22.698111915),"-1","-1",6,93,IGN,IGN01
"2220","0",Mina,Calera,POINT(-65.4117230269999 -24.047196909),Calera,"-1",6,14,IGN,IGN01/IGN04
"2435","0",Mina,"-2",POINT(-68.141876216 -38.1666705809999),"-2","-2",6,17,IGN,ESRI-World_Imagery 2013
"3702","0",Mina,Ripiera,POINT(-69.3825539539999 -39.5330169279999),"-1",Ripiera,6,-1,IGN,IGN04/IGN01
"2767","0",Mina,"-2",POINT(-68.381293538 -38.1409567869999),"-2","-2",6,17,IGN,
"2871","0",Mina,DON ALFREDO,POINT(-68.4550148929999 -38.346666666),"-2","-2",-1,0,IGN,Esri-world_imagery
"2872","0",Mina,"-2",POINT(-70.6046286229999 -37.16828588),"-2","-2",-1,-1,IGN,
"2873","0",Mina,"-2",POINT(-70.6076862309999 -37.166310927),"-2","-2",-1,-1,IGN,
"2874","0",Mina,"-2",POINT(-70.630242728 -37.191057768),"-2","-2",-1,-1,IGN,
"2877","0",Mina,Las Eugenias 3,POINT(-71.045638754 -37.66728912),"-2","-2",-1,-1,IGN,Esri-World_Imagery
"2878","0",Mina,Las Eugenias 1,POINT(-71.0496072139999 -37.719648489),"-2","-2",-1,-1,IGN,Esri-World_Imagery
"2879","0",Mina,Las Eugenias 3,POINT(-71.048532505 -37.6905073629999),"-2","-2",-1,-1,IGN,Esri-World_Imagery
"2880","0",Mina,(Arcilla),POINT(-70.0374075999999 -39.156168582),"-1","-1",-1,17,IGN,Esri-world_imagery-2010/IGN04/Dirección de Geografía
"2882","0",Mina,(Piedra Laja),POINT(-70.129827865 -39.303997302),"-1","-1",6,-1,IGN,Dirección de Geografía IGN/IGN04
"2883","0",Mina,(Mármol),POINT(-70.2291595619999 -39.243872258),"-1","-1",6,66,IGN,Dirección de Geografía IGN/IGN04
"2884","0",Mina,(Mármol),POINT(-70.229990183 -39.245666346),"-1","-1",6,66,IGN,Dirección de Geografía IGN/IGN04
"2885","0",Mina,(Puzolana),POINT(-70.2479204379999 -39.022490271),"-1","-1",6,-1,IGN,Dirección de Geografía IGN/IGN04
"2886","0",Mina,(Puzolana),POINT(-70.2405890429999 -39.036408153),"-1","-1",6,-1,IGN,Dirección de Geografía IGN/IGN04
"2887","0",Mina,(Mármol),POINT(-70.2537066039999 -39.064813767),"-1","-1",6,66,IGN,Dirección de Geografía IGN/IGN04
"2888","0",Mina,(Cobre),POINT(-70.516747546 -37.339229078),"-1","-1",-1,26,IGN,Dirección de Geografía/IGN04
"2889","0",Mina,Mina Tío Melchor (Oro),POINT(-70.400122086 -37.331032324),"-2","-2",-1,284,IGN,ESRI-World_Imagery 2010
"4377","0",Mina,"-1",POINT(-69.026279873 -37.40856514),"-1","-1",-1,-1,IGN,ESRI-World_Imagery-2010
"3168","0",Mina,"-1",POINT(-69.1133369199999 -39.108698621),"-1","-1",6,-1,IGN,IGN01
"3169","0",Mina,Ripiera,POINT(-69.233770538 -39.0287135259999),"-1",Ripiera,6,93,IGN,IGN01/IGN04
"3170","0",Mina,Cantera Olave,POINT(-69.2516926439999 -39.063351594),Cantera,Olave,6,-1,IGN,IGN01/IGN04
"3171","0",Mina,Ripiera,POINT(-69.336620365 -39.248521641),"-1",Ripiera,6,93,IGN,IGN01/IGN04
"3172","0",Mina,(Áridos),POINT(-69.2362075 -39.06226242),"-1","-1",-1,19,IGN,Dirección de Geofrafía IGN/IGN04
"3173","0",Mina,(Bentonita),POINT(-69.287342377 -39.2142942469999),"-1","-1",-1,17,IGN,Dirección de Geografía IGN/IGN04
"3174","0",Mina,(Bentonita),POINT(-69.276045788 -39.213639175),"-1","-1",-1,17,IGN,Dirección de Geografía IGN/IGN04
"3175","0",Mina,(Áridos),POINT(-69.269928411 -39.194790934),"-1","-1",-1,19,IGN,Dirección de Geografía IGN/IGN04
"3176","0",Mina,(Áridos),POINT(-69.2810281599999 -39.251933703),"-1","-1",-1,19,IGN,Dirección de Geografía IGN/IGN04
"3189","0",Mina,Cantera La Cantera (Áridos),POINT(-68.542650072 -39.070569543),Cantera,La Cantera,6,19,IGN,"Esri-world_imagery-2010/IGN04/IGN01/Subsecretaría de Energía, Minería e Hidrocarbu"
"3190","0",Mina,(Áridos),POINT(-68.9834967849999 -39.187645029),"-1","-1",6,19,IGN,"Esri-world_imagery-2010/IGN04/Subsecretaría de Energía, Minería e Hidrocarburos Pc"
"4063","0",Mina,(Arcilla),POINT(-69.625569336 -39.1100803159999),"-1","-1",6,17,IGN,IGN01/IGN04
"3698","0",Mina,(Calcáreos),POINT(-69.4179712709999 -39.3421299899999),"-1","-1",6,185,IGN,IGN04/Dir. Geografía IGN
"3699","0",Mina,(Arídos y Calcáreo),POINT(-69.359716394 -39.476616897),"-1","-1",6,19,IGN,IGN04/Dir. Geografía IGN
"3700","0",Mina,(Arídos y Calcáreo),POINT(-69.343607424 -39.4717305849999),"-1","-1",6,19,IGN,IGN04/Dir. Ggeografía IGN
"3701","0",Mina,Ripiera,POINT(-69.4164832499999 -39.65612981),"-1",Ripiera,6,-1,IGN,IGN04/IGN01
"3926","0",Mina,(Bentonita),POINT(-69.683381345 -39.06262935),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3927","0",Mina,(Bentonita),POINT(-69.682528228 -39.0577457439999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3928","0",Mina,(Bentonita),POINT(-69.66847452 -39.0416530959999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3929","0",Mina,(Bentonita),POINT(-69.664123903 -39.04047689),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3930","0",Mina,(Bentonita),POINT(-69.658939096 -39.034964408),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3931","0",Mina,(Bentonita),POINT(-69.658654099 -39.0247177639999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3932","0",Mina,(Bentonita),POINT(-69.662956102 -39.0190026989999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3933","0",Mina,(Bentonita),POINT(-69.6558494779999 -39.0140443449999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3934","0",Mina,(Bentonita),POINT(-69.657144833 -39.011403441),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3935","0",Mina,(Bentonita),POINT(-69.6589036629999 -39.010637006),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3936","0",Mina,(Bentonita),POINT(-69.650526218 -39.0144693519999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3937","0",Mina,(Bentonita),POINT(-69.647708947 -39.0163712139999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3938","0",Mina,(Bentonita),POINT(-69.647601992 -39.01342568),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3939","0",Mina,(Bentonita),POINT(-69.648885462 -39.011191056),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3940","0",Mina,(Bentonita),POINT(-69.6446072269999 -39.0096766419999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3941","0",Mina,(Bentonita),POINT(-69.643846652 -39.012751607),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3942","0",Mina,(Bentonita),POINT(-69.6530686249999 -39.0041542979999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3943","0",Mina,(Bentonita),POINT(-69.650145165 -39.0038310699999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3944","0",Mina,(Bentonita),POINT(-69.642943469 -39.0076635299999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
