producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
273893;82;0021-8782;;;;JOURNAL OF ANATOMY;;;;10.1111/joa.12801;WILEY-BLACKWELL PUBLISHING, INC;NO INDEXADO
273894;21;1932-8486;;424;433;ANATOMICAL RECORD-ADVANCES IN INTEGRATIVE ANATOMY AND EVOLUTIONARY BIOLOGY;301;3;;10.1002/ar.23739;WILEY-LISS, DIV JOHN WILEY & SONS INC;NO INDEXADO
273927;39;0926-6690;;108;114;INDUSTRIAL CROPS AND PRODUCTS;114;;;10.1016/j.indcrop.2018.01.036;ELSEVIER SCIENCE BV;NO INDEXADO
273929;21;0891-5849;;41;55;FREE RADICAL BIOLOGY AND MEDICINE;;120;;;ELSEVIER SCIENCE INC;NO INDEXADO
273931;21;1539-3755;;;;PHYSICAL REVIEW E;97;3;;10.1103/PhysRevE.97.032103;AMER PHYSICAL SOC;NO INDEXADO
273952;82;1671-4083;;371;381;ACTA PHARMACOLOGICA SINICA;39;3;;10.1038/aps.2017.133;NATURE PUBLISHING GROUP;NO INDEXADO
273953;21;0895-9811;;;;JOURNAL OF SOUTH AMERICAN EARTH SCIENCES;;;;10.1016/j.jsames.2018.08.021;PERGAMON-ELSEVIER SCIENCE LTD;NO INDEXADO
273959;1;0370-4661;;;;REVISTA DE LA FACULTAD DE CIENCIAS AGRARIAS DE LA UNIVERSIDAD NACIONAL DE CUYO;;;;;UNIV NACIONAL CUYO;NO INDEXADO
273960;82;0021-8596;;62;70;JOURNAL OF AGRICULTURAL SCIENCE;10;3;;;CAMBRIDGE UNIV PRESS;NO INDEXADO
273974;21;;;;;POLYMERS;10;2;;10.3390/polym10020174;MDPI AG;NO INDEXADO
274008;45;1420-3049;;741;761;MOLECULES;23;4;;10.3390/molecules23040741;MOLECULAR DIVERSITY PRESERVATION INTERNATIONAL-MDPI;NO INDEXADO
274014;39;0378-3812;;18;37;FLUID PHASE EQUILIBRIA;457;;;10.1016/j.fluid.2017.10.011;ELSEVIER SCIENCE BV;NO INDEXADO
274015;21;0887-0624;;2742;2748;ENERGY & FUELS (PRINT);32;3;;10.1021/acs.energyfuels.7b02790;AMER CHEMICAL SOC;NO INDEXADO
274016;39;0378-3812;;32;39;FLUID PHASE EQUILIBRIA;464;;;10.1016/j.fluid.2018.02.019;ELSEVIER SCIENCE BV;NO INDEXADO
274027;82;0960-0833;;;;SOFTWARE TESTING, VERIFICATION & RELIABILITY;28;2;;10.1002/stvr.1657;JOHN WILEY & SONS LTD;NO INDEXADO
274045;404;1175-5326;;125;137;ZOOTAXA;4377;1;;10.11646/zootaxa.4377.1.8;MAGNOLIA PRESS;NO INDEXADO
274046;21;0008-347X;;1;24;CANADIAN ENTOMOLOGIST;;;;10.4039/tce.2018.1;ENTOMOL SOC CANADA;NO INDEXADO
274065;21;0013-4686;;187;194;ELECTROCHIMICA ACTA;268;;;10.1016/j.electacta.2018.02.066;PERGAMON-ELSEVIER SCIENCE LTD;NO INDEXADO
274070;22;0021-8596;;62;70;JOURNAL OF AGRICULTURAL SCIENCE;10;3;;10.5539/jas.v10n3p62;CAMBRIDGE UNIV PRESS;NO INDEXADO
274074;82;2213-3437;;1314;1321;JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING;6;;;;ELSEVIER SCIENCE BV;NO INDEXADO
274075;82;;;;;NPJ BIOFILMS AND MICROBIOMES;4;1;;10.1038/s41522-017-0045-y;SPRINGER NATURE;NO INDEXADO
274076;39;1367-0484;;245;251;CONTACT LENS AND ANTERIOR EYE;41;3;;10.1016/j.clae.2017.12.017;ELSEVIER;NO INDEXADO
274078;5;0716-498X;;;;UNIVERSUM;;;;;UNIVERSIDAD DE TALCA;NO INDEXADO
274083;1;1851-7838;;1;7;REVISTA DE GEOLOGIA APLICADA A LA INGENIERÍA Y AL AMBIENTE;39;;;;ASOCIACIÓN ARGENTINA DE GEOLOGIA APLICADA A LA INGENIERÍA ;NO INDEXADO
274088;82;0966-842X;;;;TRENDS IN MICROBIOLOGY;;;;10.1016/j.tim.2017.10.008;ELSEVIER SCIENCE LONDON;NO INDEXADO
274089;31;0939-7248;;;;EUROPEAN JOURNAL OF PEDIATRIC SURGERY;;;;10.1055/s-0038-1632375;GEORG THIEME VERLAG KG;NO INDEXADO
274098;48;0304-3940;;17;23;NEUROSCIENCE LETTERS;666;;;10.1016/j.neulet.2017.12.032;ELSEVIER IRELAND LTD;NO INDEXADO
274099;54;0567-7920;;;;ACTA PALAEONTOLOGICA POLONICA;63;;;10.4202/app.00403.2017;INST PALEOBIOLOGII PAN;NO INDEXADO
274119;21;0895-9811;;31;44;JOURNAL OF SOUTH AMERICAN EARTH SCIENCES;81;;;10.1016/j.jsames.2017.11.003;PERGAMON-ELSEVIER SCIENCE LTD;NO INDEXADO
274123;31;0944-1344;;15422;15435;ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH;25;16;;10.1007/s11356-018-1725-8;SPRINGER HEIDELBERG;NO INDEXADO
274144;39;0924-8579;;;;INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS;;;;10.1016/j.ijantimicag.2018.02.001;ELSEVIER SCIENCE BV;NO INDEXADO
274146;54;0567-7920;;63;70;ACTA PALAEONTOLOGICA POLONICA;63;;;10.4202/app.00403.2017;INST PALEOBIOLOGII PAN;NO INDEXADO
274147;1;0002-7014;;;;AMEGHINIANA;;;;;ASOCIACION PALEONTOLOGICA ARGENTINA;NO INDEXADO
274148;54;0567-7920;;;;ACTA PALAEONTOLOGICA POLONICA;;;;;INST PALEOBIOLOGII PAN;NO INDEXADO
274149;1;0002-7014;;;;AMEGHINIANA;;;;;ASOCIACION PALEONTOLOGICA ARGENTINA;NO INDEXADO
274150;21;1944-3994;;1;12;DESALINATION AND WATER TREATMENT;;;;10.5004/dwt.2018.21851;DESALINATION PUBL;NO INDEXADO
274161;31;0947-6539;;5950;5961;CHEMISTRY-A EUROPEAN JOURNAL;24;22;;10.1002/chem.201800060;WILEY-V C H VERLAG GMBH;NO INDEXADO
274164;82;0144-8617;;918;922;CARBOHYDRATE POLYMERS;181;;;10.1016/j.carbpol.2017.11.059;ELSEVIER SCI LTD;NO INDEXADO
274168;39;1010-6030;;71;76;JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY;353;;;10.1016/j.jphotochem.2017.10.057;ELSEVIER SCIENCE SA;NO INDEXADO
274183;21;0163-4984;;;;BIOLOGICAL TRACE ELEMENT RESEARCH;;;;10.1007/s12011-017-1229-2;HUMANA PRESS INC;NO INDEXADO
274204;31;1439-4235;;934;942;CHEMPHYSCHEM;19;8;;10.1002/cphc.201701295;WILEY-V C H VERLAG GMBH;NO INDEXADO
274206;1;2362-3217;;1;2;DIARIO DPI ADMINISTRATIVO;;189;;;DERECHO PARA INNOVAR;NO INDEXADO
274208;1;2591-6327;;24;39;EDUCACIÓN Y VÍNCULOS;1;1;;;FACULTAD DE CIENCIAS DE LA EDUCACIÓN;NO INDEXADO
274213;82;;;;;ADVANCES IN NATURAL SCIENCES: NANOSCIENCE AND NANOTECHNOLOGY;;;;10.1088/2043-6254/aaa6e8;IOP PUBLISHING;NO INDEXADO
274237;82;0958-3157;;1;7;BIOCONTROL SCIENCE AND TECHNOLOGY;;;;10.1080/09583157.2018.1450491;TAYLOR & FRANCIS LTD;NO INDEXADO
274240;82;0958-3157;;416;422;BIOCONTROL SCIENCE AND TECHNOLOGY;28;4;;10.1080/09583157.2018.1450491;TAYLOR & FRANCIS LTD;NO INDEXADO
274244;21;0971-2119;;1059;1063;JOURNAL OF APPLIED ANIMAL RESEARCH;46;1;;10.1080/09712119.2018.1456441;GARUDA SCIENTIFIC PUBLICATIONS;NO INDEXADO
274260;21;0022-2585;;;;JOURNAL OF MEDICAL ENTOMOLOGY;;;;10.1093/jme/tjx243;ENTOMOLOGICAL SOC AMER;NO INDEXADO
274301;39;0378-7788;;145;153;ENERGY AND BUILDINGS;166;;;10.1016/j.enbuild.2018.01.024;ELSEVIER SCIENCE SA;NO INDEXADO
274302;39;0378-7788;;145;153;ENERGY AND BUILDINGS;166;;;10.1016/j.enbuild.2018.01.024;ELSEVIER SCIENCE SA;NO INDEXADO
274305;39;0928-0987;;109;118;EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES;115;;;;ELSEVIER SCIENCE BV;NO INDEXADO
274307;21;0960-0760;;22;35;JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY;178;;;10.1016/j.jsbmb.2017.10.019;PERGAMON-ELSEVIER SCIENCE LTD;NO INDEXADO
274351;21;0019-9567;;;;INFECTION AND IMMUNITY;;;;10.1128/IAI.00773-17;AMER SOC MICROBIOLOGY;NO INDEXADO
274355;21;2050-084X;;;;ELIFE;7;;;10.7554/eLife.34039;ELIFE;NO INDEXADO
274368;21;2327-9095;;1;9;APPLIED NEUROPSYCHOLOGY:ADULT;;;;10.1080/23279095.2018.1427096;ROUTLEDGE;NO INDEXADO
274369;21;;;543;552;NEUROIMAGE: CLINICAL;18;;;10.1016/j.nicl.2018.02.026;ELSEVIER INC.;NO INDEXADO
274370;21;;;200;204;NATURE HUMAN BEHAVIOUR;2;3;;10.1038/s41562-017-0282-3;NATURE PUBLISHING GROUP;NO INDEXADO
274371;21;0028-3878;;222;231;NEUROLOGY;90;5;;10.1212/WNL.0000000000004897;LIPPINCOTT WILLIAMS & WILKINS;NO INDEXADO
274372;82;1355-4794;;16;30;NEUROCASE;24;1;;10.1080/13554794.2017.1421667;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD;NO INDEXADO
274381;82;1747-0919;;1;39;SOCIAL NEUROSCIENCE;13;1;;10.1080/17470919.2016.1245214;PSYCHOLOGY PRESS;NO INDEXADO
