,clasificacion,BARRIO
2020-05-17,28.0,BALVANERA
2020-05-24,83.0,BALVANERA
2020-05-31,79.0,BALVANERA
2020-06-07,106.0,BALVANERA
2020-06-14,255.0,BALVANERA
2020-06-21,316.0,BALVANERA
2020-06-28,337.0,BALVANERA
2020-07-05,333.0,BALVANERA
2020-07-12,446.0,BALVANERA
2020-07-19,483.0,BALVANERA
2020-07-26,476.0,BALVANERA
2020-08-02,410.0,BALVANERA
2020-08-09,514.0,BALVANERA
2020-08-16,403.0,BALVANERA
2020-08-23,403.0,BALVANERA
2020-08-30,517.0,BALVANERA
2020-09-06,432.0,BALVANERA
2020-09-13,441.0,BALVANERA
2020-09-20,326.0,BALVANERA
2020-09-27,322.0,BALVANERA
2020-10-04,261.0,BALVANERA
2020-10-11,270.0,BALVANERA
2020-10-18,236.0,BALVANERA
2020-10-25,167.0,BALVANERA
2020-11-01,137.0,BALVANERA
2020-11-08,117.0,BALVANERA
2020-11-15,138.0,BALVANERA
2020-11-22,118.0,BALVANERA
2020-11-29,93.0,BALVANERA
2020-12-06,105.0,BALVANERA
2020-12-13,100.0,BALVANERA
2020-12-20,161.0,BALVANERA
2020-12-27,169.0,BALVANERA
2021-01-03,242.0,BALVANERA
2021-01-10,361.0,BALVANERA
2021-01-17,308.0,BALVANERA
2021-01-24,316.0,BALVANERA
2021-01-31,250.0,BALVANERA
2021-02-07,243.0,BALVANERA
2021-02-14,174.0,BALVANERA
2021-02-21,174.0,BALVANERA
2021-02-28,193.0,BALVANERA
2021-03-07,224.0,BALVANERA
2021-03-14,206.0,BALVANERA
2021-03-21,256.0,BALVANERA
2021-03-28,396.0,BALVANERA
2021-04-04,562.0,BALVANERA
2021-04-11,836.0,BALVANERA
2021-04-18,839.0,BALVANERA
2021-04-25,910.0,BALVANERA
2021-05-02,752.0,BALVANERA
2021-05-09,721.0,BALVANERA
2021-05-16,840.0,BALVANERA
2021-05-23,874.0,BALVANERA
2021-05-30,846.0,BALVANERA
2021-06-06,634.0,BALVANERA
2021-06-13,538.0,BALVANERA
2021-06-20,407.0,BALVANERA
2021-06-27,378.0,BALVANERA
2021-07-04,342.0,BALVANERA
2021-07-11,313.0,BALVANERA
2021-07-18,278.0,BALVANERA
2021-07-25,201.0,BALVANERA
2021-08-01,201.0,BALVANERA
2021-08-08,208.0,BALVANERA
2021-08-15,121.0,BALVANERA
2021-08-22,98.0,BALVANERA
2021-08-29,70.0,BALVANERA
2021-09-05,79.0,BALVANERA
2021-09-12,56.0,BALVANERA
2021-09-19,49.0,BALVANERA
2021-09-26,38.0,BALVANERA
2021-10-03,25.0,BALVANERA
2021-10-10,30.0,BALVANERA
2021-10-17,48.0,BALVANERA
2021-10-24,56.0,BALVANERA
2021-10-31,42.0,BALVANERA
2021-11-07,50.0,BALVANERA
2021-11-14,66.0,BALVANERA
2021-11-21,45.0,BALVANERA
2021-11-28,62.0,BALVANERA
2021-12-05,101.0,BALVANERA
2021-12-12,160.0,BALVANERA
2021-12-19,243.0,BALVANERA
2021-12-26,670.0,BALVANERA
2022-01-02,2372.0,BALVANERA
2022-01-09,5219.0,BALVANERA
2022-01-16,5072.0,BALVANERA
2022-01-23,3447.0,BALVANERA
2022-01-30,1871.0,BALVANERA
2022-02-06,876.0,BALVANERA
2022-02-13,414.0,BALVANERA
2022-02-20,275.0,BALVANERA
2022-02-27,176.0,BALVANERA
2022-03-06,96.0,BALVANERA
2022-03-13,76.0,BALVANERA
2022-03-20,78.0,BALVANERA
2022-03-27,57.0,BALVANERA
2022-04-03,48.0,BALVANERA
2022-04-10,52.0,BALVANERA
2022-04-17,41.0,BALVANERA
2022-04-24,67.0,BALVANERA
2022-05-01,70.0,BALVANERA
2022-05-08,150.0,BALVANERA
2022-05-15,346.0,BALVANERA
2022-05-22,426.0,BALVANERA
2022-05-29,490.0,BALVANERA
2022-06-05,328.0,BALVANERA
2020-03-22,0.0,BARRACAS
2020-03-29,1.0,BARRACAS
2020-04-05,1.0,BARRACAS
2020-04-12,1.0,BARRACAS
2020-04-19,1.0,BARRACAS
2020-04-26,2.0,BARRACAS
2020-05-03,1.0,BARRACAS
2020-05-10,4.0,BARRACAS
2020-05-17,38.0,BARRACAS
2020-05-24,136.0,BARRACAS
2020-05-31,183.0,BARRACAS
2020-06-07,229.0,BARRACAS
2020-06-14,322.0,BARRACAS
2020-06-21,432.0,BARRACAS
2020-06-28,521.0,BARRACAS
2020-07-05,413.0,BARRACAS
2020-07-12,322.0,BARRACAS
2020-07-19,377.0,BARRACAS
2020-07-26,351.0,BARRACAS
2020-08-02,359.0,BARRACAS
2020-08-09,414.0,BARRACAS
2020-08-16,309.0,BARRACAS
2020-08-23,279.0,BARRACAS
2020-08-30,314.0,BARRACAS
2020-09-06,292.0,BARRACAS
2020-09-13,208.0,BARRACAS
2020-09-20,167.0,BARRACAS
2020-09-27,137.0,BARRACAS
2020-10-04,149.0,BARRACAS
2020-10-11,131.0,BARRACAS
2020-10-18,83.0,BARRACAS
2020-10-25,106.0,BARRACAS
2020-11-01,80.0,BARRACAS
2020-11-08,64.0,BARRACAS
2020-11-15,68.0,BARRACAS
2020-11-22,37.0,BARRACAS
2020-11-29,53.0,BARRACAS
2020-12-06,69.0,BARRACAS
2020-12-13,65.0,BARRACAS
2020-12-20,102.0,BARRACAS
2020-12-27,106.0,BARRACAS
2021-01-03,146.0,BARRACAS
2021-01-10,185.0,BARRACAS
2021-01-17,152.0,BARRACAS
2021-01-24,167.0,BARRACAS
2021-01-31,126.0,BARRACAS
2021-02-07,124.0,BARRACAS
2021-02-14,86.0,BARRACAS
2021-02-21,95.0,BARRACAS
2021-02-28,95.0,BARRACAS
2021-03-07,118.0,BARRACAS
2021-03-14,137.0,BARRACAS
2021-03-21,139.0,BARRACAS
2021-03-28,199.0,BARRACAS
2021-04-04,350.0,BARRACAS
2021-04-11,532.0,BARRACAS
2021-04-18,540.0,BARRACAS
2021-04-25,609.0,BARRACAS
2021-05-02,552.0,BARRACAS
2021-05-09,505.0,BARRACAS
2021-05-16,507.0,BARRACAS
2021-05-23,616.0,BARRACAS
2021-05-30,506.0,BARRACAS
2021-06-06,426.0,BARRACAS
2021-06-13,342.0,BARRACAS
2021-06-20,277.0,BARRACAS
2021-06-27,236.0,BARRACAS
2021-07-04,206.0,BARRACAS
2021-07-11,154.0,BARRACAS
2021-07-18,137.0,BARRACAS
2021-07-25,132.0,BARRACAS
2021-08-01,103.0,BARRACAS
2021-08-08,91.0,BARRACAS
2021-08-15,59.0,BARRACAS
2021-08-22,60.0,BARRACAS
2021-08-29,45.0,BARRACAS
2021-09-05,50.0,BARRACAS
2021-09-12,25.0,BARRACAS
2021-09-19,15.0,BARRACAS
2021-09-26,12.0,BARRACAS
2021-10-03,10.0,BARRACAS
2021-10-10,12.0,BARRACAS
2021-10-17,10.0,BARRACAS
2021-10-24,19.0,BARRACAS
2021-10-31,22.0,BARRACAS
2021-11-07,21.0,BARRACAS
2021-11-14,9.0,BARRACAS
2021-11-21,21.0,BARRACAS
2021-11-28,27.0,BARRACAS
2021-12-05,59.0,BARRACAS
2021-12-12,62.0,BARRACAS
2021-12-19,161.0,BARRACAS
2021-12-26,280.0,BARRACAS
2022-01-02,1207.0,BARRACAS
2022-01-09,3137.0,BARRACAS
2022-01-16,3285.0,BARRACAS
2022-01-23,2300.0,BARRACAS
2022-01-30,1048.0,BARRACAS
2022-02-06,508.0,BARRACAS
2022-02-13,261.0,BARRACAS
2022-02-20,162.0,BARRACAS
2022-02-27,117.0,BARRACAS
2022-03-06,54.0,BARRACAS
2022-03-13,40.0,BARRACAS
2022-03-20,29.0,BARRACAS
2022-03-27,21.0,BARRACAS
2022-04-03,27.0,BARRACAS
2022-04-10,23.0,BARRACAS
2022-04-17,26.0,BARRACAS
2022-04-24,28.0,BARRACAS
2022-05-01,33.0,BARRACAS
2022-05-08,61.0,BARRACAS
2022-05-15,165.0,BARRACAS
2022-05-22,227.0,BARRACAS
2022-05-29,222.0,BARRACAS
2022-06-05,172.0,BARRACAS
2020-03-01,0.0,BELGRANO
2020-03-08,0.0,BELGRANO
2020-03-15,0.0,BELGRANO
2020-03-22,3.0,BELGRANO
2020-03-29,3.0,BELGRANO
2020-04-05,4.0,BELGRANO
2020-04-12,5.0,BELGRANO
2020-04-19,5.0,BELGRANO
